YOLOv12n summary (fused): 159 layers, 2,559,653 parameters, 0 gradients, 6.3 GFLOPs
Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 51/51 5.2it/s 9.8s
all        801        944       0.95      0.858      0.935       0.81
Green Light         87        122      0.891      0.697      0.828      0.499
Red Light         74        108      0.817      0.787       0.79       0.47
Speed Limit 100         52         52       0.91      0.942      0.973      0.869
Speed Limit 110         17         17          1      0.882      0.987      0.923
Speed Limit 120         60         60      0.963       0.88      0.969      0.897
Speed Limit 20         56         56      0.964      0.893       0.96      0.844
Speed Limit 30         71         74      0.961      0.932      0.971      0.904
Speed Limit 40         53         55      0.982      0.909      0.978      0.858
Speed Limit 50         68         71      0.966        0.8      0.933      0.851
Speed Limit 60         76         76      0.985      0.884       0.95       0.86
Speed Limit 70         78         78          1      0.961       0.98      0.895
Speed Limit 80         56         56      0.939      0.875       0.95      0.836
Speed Limit 90         38         38      0.933      0.658      0.832       0.71
            Stop         81         81      0.987      0.908      0.992      0.923
Speed: 0.3ms preprocess, 9.8ms inference, 0.0ms loss, 0.6ms postprocess per image
