epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.384,0.85914,3.60847,1.1737,0.24507,0.48526,0.27364,0.21851,0.83117,3.78432,1.12981,0.000174937,0.000174937,0.000174937
2,306.66,0.80536,2.59112,1.11228,0.38533,0.54962,0.44946,0.37046,0.76723,2.75444,1.07927,0.000332932,0.000332932,0.000332932
3,551.795,0.76954,2.19595,1.10335,0.47995,0.58956,0.55576,0.44934,0.80256,2.24455,1.09949,0.000473569,0.000473569,0.000473569
4,702.336,0.76438,1.87556,1.08969,0.58336,0.63613,0.66333,0.54944,0.75194,1.89061,1.05943,0.000447889,0.000447889,0.000447889
5,853.178,0.71929,1.6114,1.05902,0.83686,0.63411,0.7432,0.63125,0.72267,1.40047,1.02939,0.000421852,0.000421852,0.000421852
6,1004.22,0.69723,1.43752,1.05268,0.73063,0.7135,0.78023,0.66141,0.70305,1.22077,1.02441,0.000395815,0.000395815,0.000395815
7,1155.19,0.68666,1.32471,1.04557,0.78336,0.75091,0.80937,0.68796,0.67357,1.01303,0.99165,0.000369778,0.000369778,0.000369778
8,1306.58,0.66147,1.21338,1.03418,0.83016,0.75549,0.8435,0.71136,0.69683,0.95392,1.00159,0.000343741,0.000343741,0.000343741
9,1458.03,0.65449,1.14404,1.02628,0.84585,0.77562,0.84446,0.72476,0.65185,0.87812,0.98338,0.000317704,0.000317704,0.000317704
10,1609.5,0.62332,1.05483,1.01051,0.92357,0.77117,0.86846,0.73702,0.65428,0.79543,0.98599,0.000291667,0.000291667,0.000291667
11,1761.18,0.62739,0.81951,0.98714,0.88768,0.79649,0.87745,0.74622,0.65604,0.76009,0.99438,0.00026563,0.00026563,0.00026563
12,1912.44,0.61499,0.7546,0.98241,0.92736,0.80579,0.88982,0.76169,0.63955,0.70594,0.97723,0.000239593,0.000239593,0.000239593
13,2063.53,0.59685,0.68124,0.96508,0.93441,0.81073,0.89892,0.7678,0.6387,0.6589,0.96944,0.000213556,0.000213556,0.000213556
14,2214.8,0.58675,0.64695,0.96421,0.94141,0.81859,0.90418,0.76813,0.64292,0.62931,0.96418,0.000187519,0.000187519,0.000187519
15,2366.02,0.57459,0.61253,0.95199,0.93749,0.83756,0.91731,0.78397,0.63338,0.58143,0.95788,0.000161482,0.000161482,0.000161482
16,2517.26,0.56642,0.57629,0.94682,0.95417,0.8383,0.92455,0.79333,0.60569,0.54973,0.95005,0.000135445,0.000135445,0.000135445
17,2668.39,0.55314,0.53665,0.93955,0.94509,0.84074,0.92427,0.79694,0.60436,0.53611,0.9506,0.000109408,0.000109408,0.000109408
18,2819.76,0.54722,0.51871,0.93339,0.94037,0.85266,0.93159,0.80369,0.58958,0.51586,0.9413,8.3371e-05,8.3371e-05,8.3371e-05
19,2970.82,0.53219,0.49114,0.92785,0.94977,0.85781,0.93516,0.80973,0.59456,0.50386,0.94538,5.7334e-05,5.7334e-05,5.7334e-05
20,3121.85,0.5221,0.47545,0.926,0.93227,0.86511,0.93661,0.80748,0.58742,0.49159,0.93733,3.1297e-05,3.1297e-05,3.1297e-05
